timestamp,sensor_id,temperature,humidity
2025-10-30 08:00:00,S1,22.51,46.67
2025-10-30 08:05:00,S1,22.13,43.08
2025-10-30 08:10:00,S1,22.63,43.77
2025-10-30 08:15:00,S1,22.2,44.36
2025-10-30 08:20:00,S1,22.66,47.45
2025-10-30 08:25:00,S1,22.19,44.91
2025-10-30 08:30:00,S1,21.83,46.3
2025-10-30 08:35:00,S1,21.5,44.4
2025-10-30 08:40:00,S1,22.1,44.53
2025-10-30 08:45:00,S1,22.36,45.02
2025-10-30 08:50:00,S1,22.24,46.8
2025-10-30 08:55:00,S1,21.7,45.31
2025-10-30 09:00:00,S1,22.94,47.02
2025-10-30 09:05:00,S1,22.38,48.48
2025-10-30 09:10:00,S1,22.41,44.61
2025-10-30 09:15:00,S1,23.0,47.37
2025-10-30 09:20:00,S1,22.22,42.7
2025-10-30 09:25:00,S1,22.32,48.46
2025-10-30 09:30:00,S1,22.71,45.55
2025-10-30 09:35:00,S1,21.68,45.41
2025-10-30 09:40:00,S1,22.13,45.29
2025-10-30 09:45:00,S1,22.36,44.15
2025-10-30 09:50:00,S1,22.61,48.8
2025-10-30 09:55:00,S1,22.18,46.83
2025-10-30 10:00:00,S1,22.51,45.01
2025-10-30 10:05:00,S1,21.58,48.89
2025-10-30 10:10:00,S1,22.45,46.72
2025-10-30 10:15:00,S1,22.33,45.88
2025-10-30 10:20:00,S1,22.67,44.04
2025-10-30 10:25:00,S1,22.57,44.5
2025-10-30 10:30:00,S1,22.62,46.27
2025-10-30 10:35:00,S1,22.79,47.7
2025-10-30 10:40:00,S1,21.88,46.14
2025-10-30 10:45:00,S1,23.21,47.25
2025-10-30 10:50:00,S1,22.57,47.53
2025-10-30 10:55:00,S1,22.73,45.94
2025-10-30 11:00:00,S1,21.95,43.46
2025-10-30 11:05:00,S1,22.04,44.4
2025-10-30 11:10:00,S1,22.11,47.74
2025-10-30 11:15:00,S1,22.67,45.97
2025-10-30 11:20:00,S1,21.75,45.75
